# Namespace(base_learning_rate=0.1, batch_size=32, cudnn_workspace_limit_mb=64, db_type='lmdb', epoch_size=49984, file_store_path='/tmp', gpus='0', image_size=227, load_model_path=None, num_channels=3, num_epochs=1000000, num_gpus=1, num_labels=1000, num_shards=1, redis_host=None, redis_port=6379, run_id=None, save_model_name='resnet50_model', shard_id=0, test_data=None, train_data='/mnt/nas101/hiroki11x/ilsvrc12_train_lmdb', weight_decay=0.0001)
time_spent,cumulative_time_spent,input_count,cumulative_input_count,cumulative_batch_count,inputs_per_sec,accuracy,epoch,learning_rate,loss,test_accuracy
473.725947142,43816.7741001,49984,4598528,145265,105.512481006,0.53125,92,0.00010000000475,2.16209721565,-1
472.39230299,44289.166404,49984,4648512,146827,105.810360761,0.59375,93,0.00010000000475,2.28799080849,-1
473.138287067,44762.3046939,49984,4698496,148389,105.643532486,0.53125,94,0.00010000000475,2.07617235184,-1
472.773276091,45235.0779729,49984,4748480,149951,105.725095998,0.6875,95,0.00010000000475,1.51058745384,-1
472.37902689,45707.457,49984,4798464,151513,105.813334536,0.5,96,0.00010000000475,2.04753255844,-1
472.316704988,46179.7737079,49984,4848448,153075,105.827296541,0.59375,97,0.00010000000475,1.55331742764,-1
473.150449038,46652.924159,49984,4898432,154637,105.640816999,0.65625,98,0.00010000000475,1.64418184757,-1
473.832265139,47126.756427,49984,4948416,156199,105.488806224,0.625,99,0.00010000000475,1.80173528194,-1
475.236736059,47601.993165,49984,4998400,157761,105.177054313,0.59375,100,0.00010000000475,1.82266151905,-1
475.063397884,48077.056565,49984,5048384,159323,105.215430662,0.6875,101,0.00010000000475,1.51098203659,-1
475.73509717,48552.791666,49984,5098368,160885,105.066875026,0.6875,102,0.00010000000475,1.26725256443,-1
474.11805892,49026.9097359,49984,5148352,162447,105.425218592,0.5625,103,0.00010000000475,1.90068149567,-1
474.698637962,49501.6083779,49984,5198336,164009,105.296278529,0.65625,104,0.00010000000475,1.45313048363,-1
475.441921949,49977.050303,49984,5248320,165571,105.13166318,0.53125,105,0.00010000000475,2.00889158249,-1
474.558197975,50451.6085019,49984,5298304,167133,105.327439739,0.625,106,0.00010000000475,2.0353937149,-1
475.193313837,50926.801815,49984,5348288,168695,105.186665183,0.625,107,0.00010000000475,1.44986891747,-1
474.945112944,51401.7469299,49984,5398272,170257,105.241634534,0.5625,108,0.00010000000475,1.85178244114,-1
473.390262127,51875.1371949,49984,5448256,171819,105.587300794,0.75,109,0.00010000000475,1.29980385303,-1
474.437958002,52349.575156,49984,5498240,173381,105.354133574,0.59375,110,0.00010000000475,1.69466876984,-1
475.206547022,52824.7817049,49984,5548224,174943,105.183736026,0.75,111,0.00010000000475,1.17472457886,-1
474.473484993,53299.255192,49984,5598208,176505,105.346245008,0.5625,112,0.00010000000475,1.55157840252,-1
475.683305979,53774.9385059,49984,5648192,178067,105.078314441,0.59375,113,0.00010000000475,2.06566238403,-1
474.603844881,54249.542351,49984,5698176,179629,105.317309455,0.625,114,0.00010000000475,1.28190159798,-1
475.90128088,54725.443635,49984,5748160,181191,105.030185898,0.5,115,0.00010000000475,2.04841208458,-1
476.598096848,55202.0417368,49984,5798144,182753,104.876625254,0.4375,116,0.00010000000475,2.24470376968,-1
475.699455976,55677.7411931,49984,5848128,184315,105.074747032,0.59375,117,0.00010000000475,1.61424350739,-1
474.393215895,56152.1344159,49984,5898112,185877,105.364069985,0.46875,118,0.00010000000475,2.38285636902,-1
475.744973898,56627.8793919,49984,5948096,187439,105.06469378,0.5625,119,1.00000006569e-05,2.18922376633,-1
474.842674017,57102.7220659,49984,5998080,189001,105.264338559,0.625,120,1.00000006569e-05,1.35190534592,-1
475.363415956,57578.0854859,49984,6048064,190563,105.149025613,0.46875,121,1.00000006569e-05,2.69805836678,-1
475.815106869,58053.900599,49984,6098048,192125,105.049207725,0.6875,122,1.00000006569e-05,1.19500601292,-1
566.244009018,58620.1446071,49984,6148032,193687,88.2728986161,0.59375,123,1.00000006569e-05,1.96200656891,-1
896.803398848,59516.94801,49984,6198016,195249,55.7357388077,0.625,124,1.00000006569e-05,1.65143656731,-1
475.231936932,59992.179949,49984,6248000,196811,105.178116443,0.59375,125,1.00000006569e-05,1.65153682232,-1
475.357072115,60467.5370309,49984,6297984,198373,105.150428872,0.53125,126,1.00000006569e-05,1.9502620697,-1
476.312153101,60943.849184,49984,6347968,199935,104.939585678,0.65625,127,1.00000006569e-05,1.73582112789,-1
475.713696003,61419.5628829,49984,6397952,201497,105.071601722,0.5,128,1.00000006569e-05,1.8000587225,-1
475.856662035,61895.419544,49984,6447936,203059,105.040034086,0.65625,129,1.00000006569e-05,1.51300871372,-1
476.060853958,62371.480402,49984,6497920,204621,104.994980336,0.59375,130,1.00000006569e-05,1.83711075783,-1
476.497533083,62847.9779389,49984,6547904,206183,104.898759237,0.59375,131,1.00000006569e-05,1.67151248455,-1
476.35939002,63324.337332,49984,6597888,207745,104.929179622,0.65625,132,1.00000006569e-05,1.32002413273,-1
476.424942017,63800.7622769,49984,6647872,209307,104.914742264,0.6875,133,1.00000006569e-05,1.47725260258,-1
476.454185009,64277.216465,49984,6697856,210869,104.908302986,0.53125,134,1.00000006569e-05,1.87951898575,-1
476.207139015,64753.423605,49984,6747840,212431,104.962727151,0.78125,135,1.00000006569e-05,1.204382658,-1
